date,AAPL,FB,JPM,MSFT,NVDA
2023-06-15,186.01,,143.09,348.1,426.53
2023-06-14,183.95,,141.49,337.34,429.97
2023-06-13,183.31,,142.02,334.29,410.22
2023-06-12,183.79,,141.0,331.85,394.82
2023-06-09,180.96,,141.01,326.79,387.7
2023-06-08,180.57,,140.73,325.26,385.1
2023-06-07,177.82,,140.69,323.38,374.75
2023-06-06,179.21,,139.34,333.68,386.54
2023-06-05,179.58,,139.09,335.94,391.71
2023-06-02,180.95,,140.47,335.4,393.27
2023-06-01,180.09,,137.58,332.58,397.7
2023-05-31,177.25,,135.71,328.39,378.34
2023-05-30,177.3,,137.46,331.21,401.11
2023-05-26,175.43,,136.94,332.89,389.46
2023-05-25,172.99,,135.67,325.92,379.8
2023-05-24,171.84,,135.34,313.85,305.38
2023-05-23,171.56,,136.59,315.26,306.88
2023-05-22,174.2,,138.03,321.18,311.76
2023-05-19,175.16,,139.18,318.339996,312.64
2023-05-18,175.05,,139.5,318.52,316.78
2023-05-17,172.69,,138.45,314.0,301.78
2023-05-16,172.07,,134.32,311.74,292.13
2023-05-15,172.07,,135.23,309.46,289.53
2023-05-12,172.57,,134.1,308.97,283.4
2023-05-11,173.75,,136.05,310.11,285.78
2023-05-10,173.555,,136.48,312.31,288.85
2023-05-09,171.77,,136.41,307.0,285.71
2023-05-08,173.5,,137.07,308.65,291.51
2023-05-05,173.57,,136.74,310.65,286.8
2023-05-04,165.79,,134.12,305.41,275.62
2023-05-03,167.45,,135.98,304.4,278.02
2023-05-02,168.54,,138.92,305.41,282.1
2023-05-01,169.59,,141.2,305.56,289.1
2023-04-28,169.68,,138.24,307.26,277.49
2023-04-27,168.41,,137.05,304.83,272.26
2023-04-26,163.76,,135.23,295.37,269.56
2023-04-25,163.77,,137.67,275.42,262.41
2023-04-24,165.33,,140.73,281.77,270.42
2023-04-21,165.02,,140.54,285.76,271.19
2023-04-20,166.65,,140.81,286.11,271.04
2023-04-19,167.63,,141.22,288.45,279.31
2023-04-18,166.47,,141.4,288.37,276.67
2023-04-17,165.23,,139.83,288.8,270.02
2023-04-14,165.21,,138.73,286.14,267.58
2023-04-13,165.56,,128.99,289.84,264.63
2023-04-12,160.1,,128.5,283.49,264.95
2023-04-11,160.8,,128.52,282.83,271.69
2023-04-10,162.03,,127.89,289.39,275.79
2023-04-06,164.66,,127.47,291.6,270.37
2023-04-05,163.76,,127.61,284.34,268.81
2023-04-04,165.63,,128.42,287.18,274.53
2023-04-03,166.17,,130.16,287.23,279.65
2023-03-31,164.9,,130.31,288.3,277.77
2023-03-30,162.36,,128.75,284.05,273.83
2023-03-29,160.77,,129.14,280.51,269.84
2023-03-28,157.65,,128.88,275.23,264.1
2023-03-27,158.28,,128.49,276.38,265.31
2023-03-24,160.25,,124.91,280.57,267.79
2023-03-23,158.93,,126.84,277.66,271.91
2023-03-22,157.83,,127.18,272.29,264.68
2023-03-21,159.28,,130.55,273.78,261.99
2023-03-20,157.4,,127.14,272.23,259.0
2023-03-17,155.0,,125.81,279.43,257.25
2023-03-16,155.85,,130.75,276.2,255.41
2023-03-15,152.99,,128.26,265.44,242.28
2023-03-14,152.59,,134.62,260.79,240.63
2023-03-13,150.47,,131.25,253.92,229.66
2023-03-10,148.5,,133.65,248.59,229.65
2023-03-09,150.59,,130.34,252.32,234.36
2023-03-08,152.87,,137.8,253.7,241.81
2023-03-07,151.6,,138.62,254.15,232.88
2023-03-06,153.83,,142.82,256.87,235.54
2023-03-03,151.03,,143.66,255.29,238.9
2023-03-02,145.91,,141.07,251.11,233.14
